         637770 function calls (617981 primitive calls) in 0.562 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.015    0.015 ssl_.py:1(<module>)
  205/192    0.000    0.000    0.015    0.000 typing.py:515(__getitem__)
      192    0.001    0.000    0.014    0.000 typing.py:694(Union)
        5    0.000    0.000    0.014    0.003 response.py:1(<module>)
        2    0.000    0.000    0.014    0.007 indexing.py:1(<module>)
 1280/137    0.005    0.000    0.014    0.000 _compiler.py:37(_compile)
        1    0.000    0.000    0.014    0.014 url.py:1(<module>)
        9    0.001    0.000    0.013    0.001 exceptions.py:1(<module>)
        2    0.000    0.000    0.013    0.007 client.py:245(_load_service_endpoints_ruleset)
      133    0.000    0.000    0.013    0.000 hooks.py:418(register)
        2    0.000    0.000    0.013    0.006 __init__.py:72(_get_default_session)
        1    0.000    0.000    0.013    0.013 __init__.py:27(setup_default_session)
        1    0.000    0.000    0.013    0.013 session.py:49(__init__)
        9    0.000    0.000    0.012    0.001 loaders.py:456(load_data)
        8    0.000    0.000    0.012    0.002 session.py:814(_get_internal_component)
      393    0.002    0.000    0.012    0.000 typing.py:1269(__init__)
        1    0.000    0.000    0.012    0.012 session.py:203(create_default_resolver)
      791    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:416(__enter__)
     2981    0.012    0.000    0.012    0.000 {method 'sub' of 're.Pattern' objects}
        2    0.000    0.000    0.012    0.006 config.py:1(<module>)
     3197    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
  503/258    0.002    0.000    0.012    0.000 inspect.py:2497(_signature_from_callable)
      774    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        1    0.000    0.000    0.011    0.011 session.py:1265(get_session)
        1    0.000    0.000    0.011    0.011 session.py:97(__init__)
      261    0.001    0.000    0.011    0.000 compute.py:268(_make_signature)
       98    0.001    0.000    0.011    0.000 docscrape.py:384(_parse)
      743    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      117    0.000    0.000    0.011    0.000 session.py:709(register)
        1    0.000    0.000    0.011    0.011 session.py:247(_register_builtin_handlers)
        1    0.000    0.000    0.011    0.011 _dtype_like.py:1(<module>)
     1288    0.003    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
        1    0.000    0.000    0.010    0.010 example.py:1(<module>)
