         637770 function calls (617981 primitive calls) in 0.562 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetimelike.py:87(DatetimeIndexOpsMixin)
     1565    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        1    0.000    0.000    0.000    0.000 arraylike.py:31(OpsMixin)
      3/2    0.000    0.000    0.000    0.000 <frozen posixpath>:432(_joinrealpath)
      201    0.000    0.000    0.000    0.000 inspect.py:1828(_shadowed_dict)
       44    0.000    0.000    0.000    0.000 typing.py:1004(_typevar_subst)
      490    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
        2    0.000    0.000    0.000    0.000 loaders.py:510(process)
        2    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pkgutil.py:1(<module>)
      444    0.000    0.000    0.000    0.000 typing.py:1630(__eq__)
        1    0.000    0.000    0.000    0.000 _calamine.py:1(<module>)
        2    0.000    0.000    0.000    0.000 utils.py:1311(validate_region_name)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
       50    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       42    0.000    0.000    0.000    0.000 enum.py:967(_get_mixins_)
        1    0.000    0.000    0.000    0.000 tzinfo.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dtypes.py:945(PeriodDtype)
        2    0.000    0.000    0.000    0.000 sysconfig.py:258(_extend_dict)
        3    0.000    0.000    0.000    0.000 configparser.py:1287(__init__)
       10    0.000    0.000    0.000    0.000 typing.py:1542(copy_with)
        1    0.000    0.000    0.000    0.000 isoparser.py:42(isoparser)
      795    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 _mixins.py:92(NDArrayBackedExtensionArray)
      102    0.000    0.000    0.000    0.000 inspect.py:2146(_signature_is_builtin)
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
        1    0.000    0.000    0.000    0.000 functions.py:46(__init__)
        1    0.000    0.000    0.000    0.000 function_base.py:1(<module>)
      141    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
        1    0.000    0.000    0.000    0.000 mixins.py:61(NDArrayOperatorsMixin)
        1    0.000    0.000    0.000    0.000 functions.py:50(_populate_function_table)
        1    0.000    0.000    0.000    0.000 datetimelike.py:196(DatetimeLikeArrayMixin)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
       30    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
        5    0.000    0.000    0.000    0.000 hooks.py:108(register_first)
        3    0.000    0.000    0.000    0.000 loaders.py:426(_find_extras)
       44    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
       64    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
       15    0.000    0.000    0.000    0.000 base.py:549(find)
      517    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
        1    0.000    0.000    0.000    0.000 special.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dataclasses.py:638(_frozen_get_del_attr)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 message.py:135(Message)
        2    0.000    0.000    0.000    0.000 session.py:1036(_resolve_defaults_mode)
        1    0.000    0.000    0.000    0.000 typing.py:2844(NamedTuple)
      150    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       38    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      213    0.000    0.000    0.000    0.000 docscrape.py:21(strip_blank_lines)
        1    0.000    0.000    0.000    0.000 base_parser.py:101(ParserBase)
        2    0.000    0.000    0.000    0.000 textwrap.py:386(fill)
       52    0.000    0.000    0.000    0.000 __init__.py:1428(_fixupParents)
        1    0.000    0.000    0.000    0.000 download.py:1(<module>)
        8    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       12    0.000    0.000    0.000    0.000 _strptime.py:219(__seqToRE)
        1    0.000    0.000    0.000    0.000 integer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dates.py:1(<module>)
      133    0.000    0.000    0.000    0.000 expr.py:180(<genexpr>)
      599    0.000    0.000    0.000    0.000 _parser.py:83(groups)
        3    0.000    0.000    0.000    0.000 configparser.py:974(_read)
      215    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
        1    0.000    0.000    0.000    0.000 align.py:1(<module>)
       76    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
        1    0.000    0.000    0.000    0.000 timedeltas.py:103(TimedeltaArray)
        1    0.000    0.000    0.000    0.000 hooks.py:1(<module>)
       95    0.000    0.000    0.000    0.000 accessor.py:94(_create_delegator_property)
        1    0.000    0.000    0.000    0.000 pool.py:1(<module>)
       17    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
      204    0.000    0.000    0.000    0.000 model.py:490(__init__)
        2    0.000    0.000    0.000    0.000 textwrap.py:361(fill)
        1    0.000    0.000    0.000    0.000 _openpyxl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _text.py:1(<module>)
        2    0.000    0.000    0.000    0.000 textwrap.py:347(wrap)
        2    0.000    0.000    0.000    0.000 docstring.py:1(<module>)
     2253    0.000    0.000    0.000    0.000 copy.py:172(_deepcopy_atomic)
        2    0.000    0.000    0.000    0.000 _strptime.py:88(__calc_month)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stata.py:823(StataMissingValue)
      213    0.000    0.000    0.000    0.000 docscrape.py:56(read)
        2    0.000    0.000    0.000    0.000 lazy.py:139(__new__)
        2    0.000    0.000    0.000    0.000 args.py:352(_compute_endpoint_config)
        1    0.000    0.000    0.000    0.000 upload.py:1(<module>)
        1    0.000    0.000    0.000    0.000 check.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pydoc.py:485(Doc)
      220    0.000    0.000    0.000    0.000 endpoint_provider.py:444(__init__)
       35    0.000    0.000    0.000    0.000 compat.py:17(get_methods)
        2    0.000    0.000    0.000    0.000 params.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetimelike.py:430(DatetimeTimedeltaMixin)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
       22    0.000    0.000    0.000    0.000 ipaddress.py:1187(_ip_int_from_string)
     1449    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      526    0.000    0.000    0.000    0.000 typing.py:2563(final)
      102    0.000    0.000    0.000    0.000 inspect.py:2488(_descriptor_get)
      106    0.000    0.000    0.000    0.000 extension.py:32(_inherit_from_data)
      352    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 eventstream.py:1(<module>)
        2    0.000    0.000    0.000    0.000 args.py:376(_compute_s3_endpoint_config)
        6    0.000    0.000    0.000    0.000 numeric.py:2706(extend_all)
      204    0.000    0.000    0.000    0.000 docstring.py:39(__new__)
      137    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        2    0.000    0.000    0.000    0.000 useragent.py:259(to_string)
       11    0.000    0.000    0.000    0.000 {built-in method _io.open}
        1    0.000    0.000    0.000    0.000 inspect.py:611(getmembers)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
       26    0.000    0.000    0.000    0.000 <frozen posixpath>:256(expanduser)
       13    0.000    0.000    0.000    0.000 mixins.py:46(_numeric_methods)
       99    0.000    0.000    0.000    0.000 typing.py:1088(<genexpr>)
        1    0.000    0.000    0.000    0.000 _histograms_impl.py:1(<module>)
       34    0.000    0.000    0.000    0.000 generic.py:13611(make_doc)
      196    0.000    0.000    0.000    0.000 docscrape.py:35(__init__)
      144    0.000    0.000    0.000    0.000 endpoint_provider.py:509(__init__)
        1    0.000    0.000    0.000    0.000 period.py:80(PeriodIndex)
        1    0.000    0.000    0.000    0.000 lazy.py:1(<module>)
       50    0.000    0.000    0.000    0.000 typing.py:1481(<genexpr>)
        1    0.000    0.000    0.000    0.000 inspect.py:569(_getmembers)
        2    0.000    0.000    0.000    0.000 args.py:471(_resolve_endpoint)
      644    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      119    0.000    0.000    0.000    0.000 <frozen _collections_abc>:804(get)
       50    0.000    0.000    0.000    0.000 _internal.py:893(_ufunc_doc_signature_formatter)
        4    0.000    0.000    0.000    0.000 util.py:1(<module>)
      204    0.000    0.000    0.000    0.000 docstring.py:28(__init__)
       42    0.000    0.000    0.000    0.000 enum.py:1008(_find_data_type_)
        2    0.000    0.000    0.000    0.000 client.py:619(resolve)
       77    0.000    0.000    0.000    0.000 numerictypes.py:471(issubdtype)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
      503    0.000    0.000    0.000    0.000 inspect.py:302(isclass)
       56    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        2    0.000    0.000    0.000    0.000 lazy.py:84(__new__)
       11    0.000    0.000    0.000    0.000 dataclasses.py:760(_get_field)
       64    0.000    0.000    0.000    0.000 _decorators.py:443(__call__)
        1    0.000    0.000    0.000    0.000 shlex.py:1(<module>)
        1    0.000    0.000    0.000    0.000 process.py:1(<module>)
       13    0.000    0.000    0.000    0.000 core.py:8722(__init__)
        2    0.000    0.000    0.000    0.000 loaders.py:322(determine_latest_version)
        8    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
      102    0.000    0.000    0.000    0.000 typing.py:1320(<genexpr>)
        2    0.000    0.000    0.000    0.000 endpoint_provider.py:663(_ingest_parameter_spec)
        1    0.000    0.000    0.000    0.000 _sysconfigdata__linux_x86_64-linux-gnu.py:1(<module>)
        2    0.000    0.000    0.000    0.000 args.py:676(compute_endpoint_resolver_builtin_defaults)
      791    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
        1    0.000    0.000    0.000    0.000 base.py:284(IndexOpsMixin)
       52    0.000    0.000    0.000    0.000 calendar.py:102(__getitem__)
        1    0.000    0.000    0.000    0.000 tz.py:1552(__call__)
      336    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath.add_docstring}
        1    0.000    0.000    0.000    0.000 reduction.py:1(<module>)
       98    0.000    0.000    0.000    0.000 _compiler.py:467(_get_charset_prefix)
       14    0.000    0.000    0.000    0.000 functools.py:649(cache)
       98    0.000    0.000    0.000    0.000 _strptime.py:234(<genexpr>)
        1    0.000    0.000    0.000    0.000 configparser.py:348(BasicInterpolation)
        1    0.000    0.000    0.000    0.000 _odfreader.py:1(<module>)
        1    0.000    0.000    0.000    0.000 session.py:214(create_default_config_resolver)
     1331    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        1    0.000    0.000    0.000    0.000 configparser.py:494(LegacyInterpolation)
      637    0.000    0.000    0.000    0.000 {method 'copy' of 'list' objects}
      261    0.000    0.000    0.000    0.000 compute.py:237(_make_generic_wrapper)
        8    0.000    0.000    0.000    0.000 client.py:694(_resolve_endpoint_variant_config_var)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _strptime.py:80(__calc_weekday)
      749    0.000    0.000    0.000    0.000 typing.py:781(<genexpr>)
        1    0.000    0.000    0.000    0.000 gzip.py:1(<module>)
        2    0.000    0.000    0.000    0.000 loaders.py:345(list_api_versions)
        1    0.000    0.000    0.000    0.000 _parser.py:58(_timelex)
      274    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
       13    0.000    0.000    0.000    0.000 core.py:8727(getdoc)
        1    0.000    0.000    0.000    0.000 pytables.py:4836(AppendableMultiFrameTable)
        1    0.000    0.000    0.000    0.000 _xlrd.py:1(<module>)
        1    0.000    0.000    0.000    0.000 categorical.py:246(Categorical)
      513    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        2    0.000    0.000    0.000    0.000 parsers.py:159(create_parser)
       93    0.000    0.000    0.000    0.000 __init__.py:255(escape)
       45    0.000    0.000    0.000    0.000 typing.py:307(_unpack_args)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
      145    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
        2    0.000    0.000    0.000    0.000 retryhandler.py:78(create_retry_handler)
       36    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
      265    0.000    0.000    0.000    0.000 overrides.py:105(array_function_dispatch)
        1    0.000    0.000    0.000    0.000 _asarray.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:60(Sectioned)
        2    0.000    0.000    0.000    0.000 parsers.py:154(create_parser)
        1    0.000    0.000    0.000    0.000 throttling.py:1(<module>)
       26    0.000    0.000    0.000    0.000 core.py:955(__init__)
       33    0.000    0.000    0.000    0.000 dataclasses.py:701(_is_type)
      358    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
       53    0.000    0.000    0.000    0.000 __init__.py:1497(__init__)
        1    0.000    0.000    0.000    0.000 _legacy.py:1(<module>)
      4/2    0.000    0.000    0.000    0.000 parsers.py:381(__init__)
        1    0.000    0.000    0.000    0.000 printing.py:1(<module>)
      431    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       18    0.000    0.000    0.000    0.000 core.py:1031(__init__)
        2    0.000    0.000    0.000    0.000 utils.py:255(get_service_module_name)
       16    0.000    0.000    0.000    0.000 sysconfig.py:249(_subst_vars)
        1    0.000    0.000    0.000    0.000 tz.py:1590(nocache)
       20    0.000    0.000    0.000    0.000 enum.py:1035(_find_new_)
        1    0.000    0.000    0.000    0.000 configparser.py:1277(ConverterMapping)
        1    0.000    0.000    0.000    0.000 tempfile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:2611(S3ControlEndpointSetter)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sasreader.py:1(<module>)
       53    0.000    0.000    0.000    0.000 gzip.py:89(read)
       20    0.000    0.000    0.000    0.000 mixins.py:18(_binary_method)
        1    0.000    0.000    0.000    0.000 ipc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 configparser.py:420(ExtendedInterpolation)
        2    0.000    0.000    0.000    0.000 textwrap.py:238(_wrap_chunks)
        1    0.000    0.000    0.000    0.000 base.py:110(ExtensionArray)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
      4/2    0.000    0.000    0.000    0.000 parsers.py:205(__init__)
        1    0.000    0.000    0.000    0.000 period.py:121(PeriodArray)
        1    0.000    0.000    0.000    0.000 _adapters.py:40(CompatibilityFiles)
        2    0.000    0.000    0.000    0.000 retryhandler.py:101(create_checker_from_retry_config)
        2    0.000    0.000    0.000    0.000 gzip.py:28(open)
       12    0.000    0.000    0.000    0.000 datetimelike.py:164(_make_unpacked_invalid_op)
        2    0.000    0.000    0.000    0.000 args.py:302(_compute_configured_endpoint_url)
        1    0.000    0.000    0.000    0.000 retryhandler.py:1(<module>)
     26/4    0.000    0.000    0.000    0.000 translate.py:61(resolve_references)
        6    0.000    0.000    0.000    0.000 functools.py:850(register)
        1    0.000    0.000    0.000    0.000 _adapters.py:19(Message)
      262    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 feather_format.py:1(<module>)
       92    0.000    0.000    0.000    0.000 six.py:110(__init__)
       53    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 ssltransport.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hmac.py:1(<module>)
        3    0.000    0.000    0.000    0.000 functools.py:798(singledispatch)
      720    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
      644    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
       28    0.000    0.000    0.000    0.000 calendar.py:121(__getitem__)
        2    0.000    0.000    0.000    0.000 config.py:274(__init__)
      176    0.000    0.000    0.000    0.000 six.py:146(__init__)
        1    0.000    0.000    0.000    0.000 doc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:1(<module>)
       16    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
      823    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISREG}
        4    0.000    0.000    0.000    0.000 parse.py:452(urlsplit)
      196    0.000    0.000    0.000    0.000 docscrape.py:403(<genexpr>)
        1    0.000    0.000    0.000    0.000 compressors.py:1(<module>)
       10    0.000    0.000    0.000    0.000 _text.py:79(__hash__)
      204    0.000    0.000    0.000    0.000 model.py:552(documentation)
       44    0.000    0.000    0.000    0.000 getlimits.py:24(_fr1)
       74    0.000    0.000    0.000    0.000 __init__.py:234(_acquireLock)
        1    0.000    0.000    0.000    0.000 boolean.py:1(<module>)
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
        1    0.000    0.000    0.000    0.000 regions.py:426(EndpointResolverBuiltins)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:465(inner)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _distributor_init.py:1(<module>)
       50    0.000    0.000    0.000    0.000 __init__.py:1517(debug)
      140    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
      743    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
        1    0.000    0.000    0.000    0.000 core.py:6736(__new__)
        1    0.000    0.000    0.000    0.000 extension.py:1(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:331(_compile_template)
       25    0.000    0.000    0.000    0.000 contextlib.py:132(__enter__)
        1    0.000    0.000    0.000    0.000 paginate.py:1(<module>)
        1    0.000    0.000    0.000    0.000 groupby.py:764(BaseGroupBy)
       12    0.000    0.000    0.000    0.000 useragent.py:88(to_string)
        2    0.000    0.000    0.000    0.000 collection.py:1(<module>)
       95    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        2    0.000    0.000    0.000    0.000 args.py:496(_compute_retry_config)
        1    0.000    0.000    0.000    0.000 calendar.py:58(Month)
        1    0.000    0.000    0.000    0.000 frequencies.py:1(<module>)
       33    0.000    0.000    0.000    0.000 functools.py:477(lru_cache)
        2    0.000    0.000    0.000    0.000 gzip.py:152(__init__)
      489    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        2    0.000    0.000    0.000    0.000 client.py:548(_create_name_mapping)
      644    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(get_filename)
      859    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
        1    0.000    0.000    0.000    0.000 tz.py:458(__init__)
        2    0.000    0.000    0.000    0.000 sysconfig.py:110(_getuserbase)
        1    0.000    0.000    0.000    0.000 bandwidth.py:1(<module>)
       50    0.000    0.000    0.000    0.000 _add_newdocs.py:6752(refer_to_array_attribute)
       26    0.000    0.000    0.000    0.000 typing.py:1584(<genexpr>)
       10    0.000    0.000    0.000    0.000 _functools.py:75(wrapper)
        4    0.000    0.000    0.000    0.000 getlimits.py:86(_str_smallest_subnormal)
        3    0.000    0.000    0.000    0.000 numba_.py:1(<module>)
      143    0.000    0.000    0.000    0.000 _decorators.py:477(__init__)
       50    0.000    0.000    0.000    0.000 getlimits.py:101(_float_conv)
       94    0.000    0.000    0.000    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.000    0.000 _ufunclike_impl.py:1(<module>)
      137    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
      204    0.000    0.000    0.000    0.000 model.py:566(is_endpoint_discovery_operation)
        1    0.000    0.000    0.000    0.000 loaders.py:1(<module>)
        1    0.000    0.000    0.000    0.000 string_arrow.py:82(ArrowStringArray)
        1    0.000    0.000    0.000    0.000 python_parser.py:1(<module>)
      191    0.000    0.000    0.000    0.000 doc.py:11(create_section_header)
      294    0.000    0.000    0.000    0.000 {built-in method sys.intern}
     1053    0.000    0.000    0.000    0.000 inspect.py:2796(default)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
      199    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
        2    0.000    0.000    0.000    0.000 _strptime.py:107(__calc_date_time)
      137    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
        4    0.000    0.000    0.000    0.000 client.py:706(_resolve_use_dualstack_endpoint)
      264    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
        2    0.000    0.000    0.000    0.000 hooks.py:126(register_last)
        2    0.000    0.000    0.000    0.000 args.py:559(_compute_request_compression_config)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _pyxlsb.py:1(<module>)
        1    0.000    0.000    0.000    0.000 connection.py:84(HTTPConnection)
       50    0.000    0.000    0.000    0.000 config.py:780(config_prefix)
      270    0.000    0.000    0.000    0.000 _decorators.py:343(doc)
      190    0.000    0.000    0.000    0.000 expr.py:182(<genexpr>)
        1    0.000    0.000    0.000    0.000 threading.py:1441(__init__)
      154    0.000    0.000    0.000    0.000 numerictypes.py:289(issubclass_)
        1    0.000    0.000    0.000    0.000 context.py:30(BaseContext)
        1    0.000    0.000    0.000    0.000 _arraypad_impl.py:1(<module>)
       43    0.000    0.000    0.000    0.000 getlimits.py:692(__init__)
        5    0.000    0.000    0.000    0.000 __init__.py:928(__init__)
       12    0.000    0.000    0.000    0.000 six.py:131(__init__)
       16    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
        2    0.000    0.000    0.000    0.000 client.py:423(_set_s3_presign_signature_version)
      171    0.000    0.000    0.000    0.000 expr.py:252(_node_not_implemented)
        6    0.000    0.000    0.000    0.000 abc.py:41(_register)
        4    0.000    0.000    0.000    0.000 _parser.py:996(parse_template)
       77    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
      203    0.000    0.000    0.000    0.000 docscrape.py:162(__setitem__)
      574    0.000    0.000    0.000    0.000 endpoint_provider.py:414(__init__)
       84    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 <frozen os>:44(_get_exports_list)
       34    0.000    0.000    0.000    0.000 useragent.py:54(sanitize_user_agent_string_component)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1631(_make_netmask)
        4    0.000    0.000    0.000    0.000 useragent.py:248(with_client_config)
        1    0.000    0.000    0.000    0.000 thread.py:1(<module>)
        3    0.000    0.000    0.000    0.000 six.py:887(wrapper)
        4    0.000    0.000    0.000    0.000 gzip.py:495(_read_gzip_header)
        1    0.000    0.000    0.000    0.000 array.py:287(SparseArray)
        1    0.000    0.000    0.000    0.000 managers.py:108(BaseBlockManager)
        1    0.000    0.000    0.000    0.000 core.py:2755(MaskedArray)
        1    0.000    0.000    0.000    0.000 utils.py:2825(S3ControlArnParamHandler)
       51    0.000    0.000    0.000    0.000 __init__.py:1790(isEnabledFor)
       19    0.000    0.000    0.000    0.000 warnings.py:168(simplefilter)
       24    0.000    0.000    0.000    0.000 warnings.py:184(_add_filter)
      644    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:986(create_module)
        1    0.000    0.000    0.000    0.000 _utils_impl.py:1(<module>)
       33    0.000    0.000    0.000    0.000 copyreg.py:107(_slotnames)
        1    0.000    0.000    0.000    0.000 function.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dataframe_protocol.py:25(DlpackDeviceType)
        1    0.000    0.000    0.000    0.000 contexts.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetimes.py:166(DatetimeArray)
        1    0.000    0.000    0.000    0.000 string_.py:275(StringArray)
      102    0.000    0.000    0.000    0.000 inspect.py:310(ismethoddescriptor)
        4    0.000    0.000    0.000    0.000 regions.py:192(construct_endpoint)
        1    0.000    0.000    0.000    0.000 tasks.py:1(<module>)
      294    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
        4    0.000    0.000    0.000    0.000 gzip.py:446(_read_gzip_header)
        1    0.000    0.000    0.000    0.000 credentials.py:180(providers)
        1    0.000    0.000    0.000    0.000 _tzpath.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:622(_register_types)
       40    0.000    0.000    0.000    0.000 getlimits.py:16(_fr0)
        9    0.000    0.000    0.000    0.000 accessor.py:145(_map_and_wrap)
       34    0.000    0.000    0.000    0.000 endpoint_provider.py:586(__init__)
       30    0.000    0.000    0.000    0.000 typing.py:1442(__mro_entries__)
        2    0.000    0.000    0.000    0.000 configprovider.py:951(provide)
        2    0.000    0.000    0.000    0.000 sysconfig.py:119(joinuser)
        1    0.000    0.000    0.000    0.000 win.py:1(<module>)
       56    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
        2    0.000    0.000    0.000    0.000 textwrap.py:341(_split_chunks)
        1    0.000    0.000    0.000    0.000 pytables.py:3342(Table)
        1    0.000    0.000    0.000    0.000 typing.py:738(_make_union)
      185    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 pydoc.py:1897(Helper)
        3    0.000    0.000    0.000    0.000 configprovider.py:440(__init__)
        1    0.000    0.000    0.000    0.000 display.py:1(<module>)
      580    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 _parser.py:569(__init__)
        1    0.000    0.000    0.000    0.000 style.py:1(<module>)
      308    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        1    0.000    0.000    0.000    0.000 category.py:51(CategoricalIndex)
        6    0.000    0.000    0.000    0.000 categorical.py:122(_cat_compare_op)
        3    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
      146    0.000    0.000    0.000    0.000 typing.py:971(__hash__)
        1    0.000    0.000    0.000    0.000 _parser.py:294(__init__)
       18    0.000    0.000    0.000    0.000 __init__.py:520(_cmpkey)
        1    0.000    0.000    0.000    0.000 blocks.py:181(Block)
        1    0.000    0.000    0.000    0.000 _factories.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dataclasses.py:882(_hash_add)
        3    0.000    0.000    0.000    0.000 __init__.py:509(PYFUNCTYPE)
      218    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        1    0.000    0.000    0.000    0.000 dataframe_protocol.py:38(DtypeKind)
        1    0.000    0.000    0.000    0.000 abc.py:62(Traversable)
       37    0.000    0.000    0.000    0.000 configprovider.py:423(_get_scoped_config_providers)
        1    0.000    0.000    0.000    0.000 timeout.py:14(_TYPE_DEFAULT)
        1    0.000    0.000    0.000    0.000 calendar.py:75(Day)
        1    0.000    0.000    0.000    0.000 pprint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dataclasses.py:675(_hash_fn)
        6    0.000    0.000    0.000    0.000 nanops.py:103(__call__)
        1    0.000    0.000    0.000    0.000 selectn.py:1(<module>)
        4    0.000    0.000    0.000    0.000 regions.py:251(_endpoint_for_partition)
        1    0.000    0.000    0.000    0.000 connection.py:114(_has_ipv6)
        3    0.000    0.000    0.000    0.000 _decorators.py:492(indent)
        1    0.000    0.000    0.000    0.000 validate.py:1(<module>)
        8    0.000    0.000    0.000    0.000 _compiler.py:391(_bytes_to_codes)
       74    0.000    0.000    0.000    0.000 __init__.py:243(_releaseLock)
        2    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
       82    0.000    0.000    0.000    0.000 enum.py:202(__get__)
       45    0.000    0.000    0.000    0.000 accessor.py:110(_create_delegator_method)
      140    0.000    0.000    0.000    0.000 hooks.py:171(_verify_is_callable)
       64    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
